Time;Heap Memory;Total Memory
1004678114034200;101412864;342138880
1004678192186200;101937152;356233216
1004678538926200;127307776;428437504
1004678607278300;105443328;407293952
1004678924342200;123473920;472739840
1004679041677600;123473920;472793088
1004678984753100;123473920;472793088
1004679391309000;149368832;546627584
1004679450011100;149368832;546631680
1004679773536300;173428736;617922560
1004679892644300;174215168;619048960
1004679833803600;174215168;619044864
1004680234026200;199585792;692174848
1004680295080900;199585792;692178944
1004680618741400;224694272;765263872
1004680676890300;224694272;765263872
1004681015370700;249016320;838004736
1004681074720400;250327040;838717440
1004681138682600;250327040;838717440
1004681538864500;275435520;911548416
1004681481288500;275435520;911548416
1004681991380800;300806144;986730496
1004681931407400;300806144;986730496
1004681874844900;300281856;986423296
1004682425671000;115605504;850296832
1004682368142700;115605504;850296832
1004682769970600;140455936;922718208
1004682828415900;141504512;923860992
1004683239209700;166625280;991621120
1004683177746900;166625280;991621120
1004683292281100;166625280;991625216
1004683623370400;190689280;1058344960
1004683676957900;190689280;1058349056
1004684015038100;215277568;1128071168
1004684073238900;215277568;1128071168
1004684124838900;215277568;1128075264
1004684435928400;238305280;1189793792
1004684488551700;238305280;1189793792
1004684843420100;261595136;1251635200
1004684894071200;261595136;1251639296
1004684789531500;261595136;1251631104
1004685249042700;114057216;1140633600
1004685301316200;114057216;1140637696
1004685681821800;134983680;1199017984
1004685631273500;134983680;1199017984
1004685734835300;134983680;1199022080
1004686061028300;158273536;1260929024
1004686167228000;158273536;1260933120
1004686113303700;158273536;1260933120
1004686548793400;182341632;1326596096
1004686492140800;182341632;1326592000
1004686886387700;205103104;1387458560
1004686989081300;205103104;1387462656
1004686938037900;205103104;1387462656
1004687328372700;228655104;1448820736
1004687380762100;228655104;1448820736
1004687774295500;252207104;1510723584
1004687722845600;252207104;1510719488
1004687829335200;252207104;1510723584
1004688316798600;116412416;1410514944
1004688265783600;116412416;1410514944
1004688839732600;134451200;1465712640
1004688942472200;134451200;1465716736
1004688891124500;134451200;1465712640
1004689446421600;160079872;1537187840
1004689505839600;160079872;1537187840
1004689997859700;184926208;1609678848
1004690057494900;184926208;1609678848
1004690696082800;211083264;1683582976
1004690637353600;211083264;1683582976
1004690754316200;211083264;1683582976
1004691317115000;234618880;1754300416
1004691375796300;235929600;1755410432
1004691996925700;261562368;1830182912
1004691936242900;260513792;1829523456
1004692578998900;119271424;1736310784
1004692638905400;119271424;1736310784
1004692514119400;119271424;1736310784
1004693131120900;140713984;1800835072
1004693193100400;141500416;1801388032
1004693695354800;161894400;1866854400
1004693747646200;166088704;1871286272
1004693806338900;166088704;1871286272
1004694384324900;191983616;1944809472
1004694325421300;191983616;1944809472
1004694825890800;215789568;2011348992
1004694882465100;215789568;2011348992
1004694933135900;215789568;2011348992
1004695297766500;239079424;2073513984
1004695348105000;239079424;2073530368
1004695731519100;262635520;2135977984
1004695781866600;262635520;2135977984
1004695833017700;262635520;2135982080
1004696196593700;115642368;2025967616
1004696250373200;115642368;2025967616
1004696610975300;135266304;2084253696
1004696661503600;135266304;2084253696
1004696718399700;135266304;2084257792
1004697159394700;158298112;2146488320
1004697228585200;158298112;2146488320
1004697104699200;158298112;2146484224
1004697615560600;181854208;2208927744
1004697669909800;181854208;2208927744
1004698055893700;205148160;2271219712
1004698110305200;205148160;2271219712
1004698174475700;205148160;2271219712
1004698540720400;228704256;2333675520
1004698643193100;228704256;2333679616
1004698592254500;228704256;2333675520
1004699048720400;251736064;2396094464
1004698997998000;251736064;2396090368
1004699465214800;117477376;2298642432
1004699516050500;117477376;2298642432
1004699414000700;117477376;2298642432
1004699945644100;135004160;2354909184
1004699888690700;135004160;2354909184
1004700383394100;158810112;2416791552
1004700326137700;158810112;2416791552
1004700437901500;158810112;2416799744
1004700830100800;181829632;2477060096
1004700777412000;181829632;2477060096
1004701166816200;197771264;2530320384
1004701273179100;204849152;2537332736
1004701222369400;204849152;2537332736
1004701664863500;227868672;2597658624
1004701612610300;227868672;2597658624
1004702000759900;250626048;2658115584
1004702102385400;250626048;2658123776
1004702052060500;250626048;2658119680
1004702543473200;116412416;2562613248
1004702485449500;116412416;2562613248
1004702929251500;135249920;2620076032
1004702983802600;135249920;2620076032
1004703040491500;135249920;2620084224
1004703426205300;158543872;2682408960
1004703531376700;158543872;2682413056
1004703479549800;158543872;2682413056
1004703966288900;181837824;2744639488
1004703911541000;181837824;2744639488
1004704365609300;205393920;2807152640
1004704418235800;205393920;2807156736
1004704473291500;205393920;2807156736
1004704908040800;228687872;2869538816
1004704857465700;228687872;2869538816
1004705330927400;251715584;2931466240
1004705280024600;251715584;2931466240
1004705382235200;251715584;2931466240
1004705758233900;117731328;2836484096
1004705868877900;117731328;2836488192
1004705813631200;117731328;2836488192
1004706332266300;136036352;2896220160
1004706383186600;136036352;2896220160
1004706847561400;168493056;2969661440
1004706902218000;168493056;2969661440
1004706953349600;168493056;2969661440
1004707402712700;193347584;3039186944
1004707350897100;192299008;3038408704
1004707909323100;218984448;3112275968
1004707850253600;218984448;3112271872
1004707791508100;217935872;3111567360
1004708299490300;243568640;3184906240
1004708356371100;243568640;3184910336
1004708749400800;268414976;3257872384
1004708816559100;132116480;3121131520
1004709198030200;141496320;3177742336
1004709313674700;141496320;3177742336
1004709255387300;141496320;3177742336
1004709714020700;166084608;3250167808
1004709771969200;167395328;3251388416
1004710221894800;192507904;3324678144
1004710280467800;192507904;3324682240
1004710163969500;191983616;3324211200
1004710728268300;217620480;3398234112
1004710671993900;217620480;3398230016
1004711116424900;241942528;3469881344
1004711178587600;242991104;3470987264
1004711570367500;260235264;3536064512
1004711633240900;268099584;3543719936
1004711693739700;268099584;3543719936
1004712114060700;292945920;3616608256
1004712176088400;292945920;3616608256
1004712670541700;318087168;3683356672
1004712617397700;318087168;3683356672
1004712562390400;317300736;3682697216
1004713082041800;343199744;3757895680
1004713205610100;343199744;3758071808
1004713141100000;343199744;3758071808
1004713601263300;368312320;3831083008
1004713658504200;368312320;3831087104
1004714084673200;121114624;3630534656
1004714150723300;121114624;3630534656
1004714544299800;136265728;3693137920
1004714663035700;139411456;3695980544
1004714603314000;139411456;3695976448
1004715047676600;164524032;3768897536
1004715104836500;164524032;3768897536
1004715554612200;188850176;3841851392
1004715498649200;188850176;3841851392
1004715610062500;188850176;3841859584
1004716016117400;213958656;3914469376
1004716072556400;213958656;3914469376
1004716536310300;238542848;3987070976
1004716477890600;238018560;3986493440
1004716988875400;263127040;4059656192
1004717048249200;263127040;4059656192
1004716931808600;263127040;4059656192
1004717536966500;116387840;3959992320
1004717479572700;116387840;3959992320
1004718101615500;141496320;4032413696
1004717985309100;140447744;4031246336
1004718044330600;141496320;4032409600
1004718577835200;167653376;4108406784
1004718635174700;167653376;4108410880
1004719062699600;193548288;4182364160
1004719119703600;193548288;4182364160
1004719679701800;219967488;4256399360
